LOLP,LossOfLoadHours,TotalHours
8.26e-05,826,10000000
9.12e-05,912,10000000
8.68e-05,868,10000000
8.77e-05,877,10000000
8.56e-05,856,10000000
9.85e-05,985,10000000
9.43e-05,943,10000000
8.08e-05,808,10000000
8.72e-05,872,10000000
