date,iteration,method,load data type,LOLP,LOLE,time taken
2026-02-04 20:44:01,100000,NSMCS,A,0.00002000,0.17520000,0:00:00
2026-02-04 20:44:14,1000000,NSMCS,A,0.00002700,0.23652000,0:00:06
2026-02-04 20:46:05,1000000,NSMCS,A,0.00002400,0.21024000,0:00:05
2026-02-04 20:46:45,1000000,NSMCS,B,0.00010200,0.89352000,0:00:07
2026-02-04 20:56:28,10000,NSMCS,A,0.00000000,0.00000000,0:00:00
2026-02-04 20:56:32,10000,NSMCS,A,0.00000000,0.00000000,0:00:00
2026-02-04 20:56:38,10000,NSMCS,A,0.00000000,0.00000000,0:00:00
