date,iteration,method,load data type,LOLP,LOLE,time taken
2026-02-05 00:18:33,52560000,NSMCS,B,0.00010544,0.92366667,0:09:35
2026-02-05 00:34:49,52560000,NSMCS,A,0.00002580,0.22600000,0:09:59
2026-02-05 00:58:06,100000000,NSMCS,A,0.00002617,0.22924920,0:21:26
2026-02-20 17:30:35,1000000,NSMCS,A,0.00000000,0.00000000,0:00:05
2026-02-20 17:30:49,1000000,NSMCS,A,0.00000000,0.00000000,0:00:06
2026-02-20 17:31:04,1000000,NSMCS,A,0.00000000,0.00000000,0:00:05
2026-02-20 18:37:42,1000000,NSMCS,A,0.00000100,0.00876000,0:00:05
