unit capacity
30.0
30.0
25.0
25.0
9.0
9.0
9.0
12.0
12.0
50.0
50.0
45.0
45.0
17.5
17.5
75.0
75.0
70.0
70.0
70.0
67.0
67.0
67.0
60.0
60.0
19.3
19.3
40.0
25.0
25.0
25.0
1.61
1.61
60.0
60.0
61.0
61.0
37.5
37.5
2.0
2.0
2.0
2.475
2.475
3.15
3.15
300.0
300.0
300.0
20.0
20.0
20.0
20.0
115.0
165.0
163.0
20.0
20.0
20.0
20.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
8.9
8.9
8.9
15.6
15.6
15.6
15.6
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
50.0
