All Numbers
3.76
3.76
3.76
3.76
3.76
3.76
3.76
3.76
3.76
3.76
3.76
3.76
3.76
12.0
12.0
4.0
4.0
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
4.81
17.51
17.51
17.51
0.0
0.0
0.0
0.0
76.71
97.97
52.53
56.81
56.81
56.81
56.81
53.22
53.22
53.22
53.22
53.22
53.22
53.22
53.22
54.46
54.46
54.46
53.94
53.94
53.94
53.94
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
64.43
0.0
