Modified_minihydro_solar_wind,modified_solar_wind,Load_MW_2025,Mean Solar*1609,Means Wind*266,Mini_Hydro_Generation_MW
1496.552573,1729.768,1850,0,120.232,233.215427
1301.251906,1534.467333,1650,0,115.5326667,233.215427
1174.975906,1408.191333,1520,0,111.8086667,233.215427
1136.837906,1370.053333,1480,0,109.9466667,233.215427
1058.34524,1291.560667,1400,0,108.4393333,233.215427
1041.625906,1274.841333,1380,0,105.1586667,233.215427
1066.236573,1299.452,1400,0,100.548,233.215427
1220.758573,1453.974,1550,0,96.026,233.215427
1213.20624,1446.421667,1700,163.5816667,89.99666667,233.215427
987.1912397,1220.406667,1750,448.3746667,81.21866667,233.215427
877.668573,1110.884,1900,711.178,77.938,233.215427
770.719573,1003.935,2000,919.8116667,76.25333333,233.215427
831.0112397,1064.226667,2200,1058.722,77.05133333,233.215427
993.130573,1226.346,2400,1094.12,79.534,233.215427
740.7799063,973.9953333,2100,1045.85,80.15466667,233.215427
650.0989063,883.3143334,1900,936.9743333,79.71133333,233.215427
743.665573,976.881,1800,738.531,84.588,233.215427
1140.350906,1373.566333,1950,484.309,92.12466667,233.215427
1462.62024,1695.835667,2000,202.1976667,101.9666667,233.215427
1743.25024,1976.465667,2100,2.681666667,120.8526667,233.215427
1851.833906,2085.049333,2220,0,134.9506667,233.215427
1777.22324,2010.438667,2150,0,139.5613333,233.215427
1624.208573,1857.424,2000,0,142.576,233.215427
1471.814573,1705.03,1850,0,144.97,233.215427
1224.119906,1457.335333,1600,0,142.6646667,233.215427
1079.439906,1312.655333,1450,0,137.3446667,233.215427
1234.493906,1467.709333,1600,0,132.2906667,233.215427
1188.12924,1421.344667,1550,0,128.6553333,233.215427
1144.601906,1377.817333,1500,0,122.1826667,233.215427
1131.251906,1364.467333,1480,0,115.5326667,233.215427
1176.837906,1410.053333,1520,0,109.9466667,233.215427
1362.60124,1595.816667,1700,0,104.1833333,233.215427
1445.634906,1678.850333,1950,176.4536667,94.696,233.215427
1197.705906,1430.921333,2000,484.8453333,84.23333333,233.215427
1030.08424,1263.299667,2100,751.403,85.29733333,233.215427
1124.255573,1357.471,2400,953.0643333,89.46466667,233.215427
1139.408906,1372.624333,2550,1082.857,94.51866667,233.215427
1146.545573,1379.761,2600,1120.400333,99.83866667,233.215427
1123.58724,1356.802667,2550,1087.684,105.5133333,233.215427
1134.562906,1367.778333,2450,971.2996667,110.922,233.215427
1410.14524,1643.360667,2500,739.0673333,117.572,233.215427
1788.90024,2022.115667,2600,455.347,122.5373333,233.215427
2016.835573,2250.051,2550,174.3083333,125.6406667,233.215427
2053.146573,2286.362,2420,2.145333333,131.4926667,233.215427
1978.996573,2212.212,2350,0,137.788,233.215427
2025.006573,2258.222,2400,0,141.778,233.215427
1928.109906,2161.325333,2300,0,138.6746667,233.215427
1730.769906,1963.985333,2100,0,136.0146667,233.215427
1534.759906,1767.975333,1900,0,132.0246667,233.215427
1339.370573,1572.586,1700,0,127.414,233.215427
1245.04524,1478.260667,1600,0,121.7393333,233.215427
1203.29124,1436.506667,1550,0,113.4933333,233.215427
1166.05924,1399.274667,1500,0,100.7253333,233.215427
1161.309906,1394.525333,1480,0,85.47466667,233.215427
1214.077906,1447.293333,1520,0,72.70666667,233.215427
1402.23524,1635.450667,1700,0,64.54933333,233.215427
1539.663573,1772.879,1950,116.3843333,60.73666667,233.215427
1361.429906,1594.645333,2000,347.544,57.81066667,233.215427
1230.060573,1463.276,2100,571.7313333,64.99266667,233.215427
1331.305906,1564.521333,2400,764.8113333,70.66733333,233.215427
1352.877906,1586.093333,2550,890.3133333,73.59333333,233.215427
1339.696573,1572.912,2600,951.4553333,75.63266667,233.215427
1304.566906,1537.782333,2550,932.6836667,79.534,233.215427
1293.392906,1526.608333,2450,836.1436667,87.248,233.215427
1493.63124,1726.846667,2500,677.9253333,95.228,233.215427
1812.604573,2045.82,2600,451.5926667,102.5873333,233.215427
2020.087906,2253.303333,2550,188.7893333,107.9073333,233.215427
2066.353573,2299.569,2420,2.681666667,117.7493333,233.215427
1993.094573,2226.31,2350,0,123.69,233.215427
2044.77924,2277.994667,2400,0,122.0053333,233.215427
1948.059906,2181.275333,2300,0,118.7246667,233.215427
1751.783906,1984.999333,2100,0,115.0006667,233.215427
1556.48324,1789.698667,1900,0,110.3013333,233.215427
1362.157906,1595.373333,1700,0,104.6266667,233.215427
1269.162573,1502.378,1600,0,97.622,233.215427
1227.940573,1461.156,1550,0,88.844,233.215427
1188.93524,1422.150667,1500,0,77.84933333,233.215427
1180.550573,1413.766,1480,0,66.234,233.215427
1228.441906,1461.657333,1520,0,58.34266667,233.215427
1412.07724,1645.292667,1700,0,54.70733333,233.215427
1502.777573,1735.993,1950,160.3636667,53.64333333,233.215427
1258.401906,1491.617333,2000,456.956,51.42666667,233.215427
1100.464573,1333.68,2100,710.1053333,56.21466667,233.215427
1207.702573,1440.918,2400,896.7493333,62.33266667,233.215427
1216.415573,1449.631,2550,1033.514333,66.85466667,233.215427
1201.09324,1434.308667,2600,1096.265333,69.426,233.215427
1174.793573,1408.009,2550,1071.057667,70.93333333,233.215427
1195.215573,1428.431,2450,948.7736667,72.79533333,233.215427
1456.928906,1690.144333,2500,732.095,77.76066667,233.215427
1835.430906,2068.646333,2600,446.7656667,84.588,233.215427
2053.294906,2286.510333,2550,172.163,91.32666667,233.215427
2081.16524,2314.380667,2420,2.145333333,103.474,233.215427
2005.064573,2238.28,2350,0,111.72,233.215427
2054.62124,2287.836667,2400,0,112.1633333,233.215427
1961.00524,2194.220667,2300,0,105.7793333,233.215427
1768.45324,2001.668667,2100,0,98.33133333,233.215427
1572.97524,1806.190667,1900,0,93.80933333,233.215427
1375.989906,1609.205333,1700,0,90.79466667,233.215427
1280.068573,1513.284,1600,0,86.716,233.215427
1235.565906,1468.781333,1550,0,81.21866667,233.215427
1192.038573,1425.254,1500,0,74.746,233.215427
1178.067906,1411.283333,1480,0,68.71666667,233.215427
1224.806573,1458.022,1520,0,61.978,233.215427
1410.74724,1643.962667,1700,0,56.03733333,233.215427
1488.084573,1721.3,1950,179.1353333,49.56466667,233.215427
1237.858906,1471.074333,2000,486.4543333,42.47133333,233.215427
1073.606573,1306.822,2100,753.012,40.166,233.215427
1192.016573,1425.232,2400,939.656,35.112,233.215427
1239.204906,1472.420333,2550,1044.241,33.33866667,233.215427
1258.65124,1491.866666,2600,1072.666667,35.46666667,233.215427
1239.185573,1472.401,2550,1035.659667,41.93933333,233.215427
1248.582573,1481.798,2450,917.13,51.072,233.215427
1471.28424,1704.499667,2500,733.1676667,62.33266667,233.215427
1809.52024,2042.735667,2600,482.1636667,75.10066667,233.215427
2014.92324,2248.138667,2550,213.4606667,88.40066667,233.215427
2075.920906,2309.136333,2420,3.754333333,107.1093333,233.215427
1995.84324,2229.058667,2350,0,120.9413333,233.215427
2041.232573,2274.448,2400,0,125.552,233.215427
1944.24724,2177.462667,2300,0,122.5373333,233.215427
1750.276573,1983.492,2100,0,116.508,233.215427
1556.74924,1789.964667,1900,0,110.0353333,233.215427
1363.044573,1596.26,1700,0,103.74,233.215427
1267.92124,1501.136667,1600,0,98.86333333,233.215427
1221.201906,1454.417333,1550,0,95.58266667,233.215427
1173.063906,1406.279333,1500,0,93.72066667,233.215427
1154.03924,1387.254667,1480,0,92.74533333,233.215427
1195.457906,1428.673333,1520,0,91.32666667,233.215427
1376.521906,1609.737333,1700,0,90.26266667,233.215427
1451.74424,1684.959667,1950,177.5263333,87.514,233.215427
1195.79624,1429.011667,2000,490.745,80.24333333,233.215427
1018.617906,1251.833333,2100,765.884,82.28266667,233.215427
1118.357906,1351.573333,2400,969.6906667,78.736,233.215427
1138.636573,1371.852,2550,1101.628667,76.51933333,233.215427
1132.773573,1365.989,2600,1156.871,77.14,233.215427
1099.15124,1332.366667,2550,1138.099333,79.534,233.215427
1095.898906,1329.114333,2450,1037.805,83.08066667,233.215427
1339.411573,1572.627,2500,835.071,92.302,233.215427
1713.21424,1946.429667,2600,549.7416667,103.8286667,233.215427
1971.160573,2204.376,2550,230.6233333,115.0006667,233.215427
2052.95624,2286.171667,2420,3.754333333,130.074,233.215427
1974.917906,2208.133333,2350,0,141.8666667,233.215427
2021.193906,2254.409333,2400,0,145.5906667,233.215427
1920.661906,2153.877333,2300,0,146.1226667,233.215427
1723.23324,1956.448667,2100,0,143.5513333,233.215427
1527.48924,1760.704667,1900,0,139.2953333,233.215427
1336.00124,1569.216667,1700,0,130.7833333,233.215427
1227.17324,1460.388667,1580,0,119.6113333,233.215427
1157.369906,1390.585333,1500,0,109.4146667,233.215427
1116.679906,1349.895333,1450,0,100.1046667,233.215427
1094.03924,1327.254667,1420,0,92.74533333,233.215427
1128.29524,1361.510667,1450,0,88.48933333,233.215427
1280.068573,1513.284,1600,0,86.716,233.215427
1300.911573,1534.127,1800,181.817,84.056,233.215427
1079.604573,1312.82,1900,508.444,78.736,233.215427
831.738573,1064.954,1950,798.064,86.982,233.215427
739.616573,972.832,2100,1036.196,90.972,233.215427
756.627573,989.843,2250,1166.525,93.632,233.215427
811.2339063,1044.449333,2350,1209.968,95.58266667,233.215427
691.2902397,924.5056663,2200,1177.251667,98.24266667,233.215427
702.354573,935.5700003,2100,1060.867333,103.5626667,233.215427
957.4892397,1190.704667,2150,846.334,112.9613333,233.215427
1273.41124,1506.626667,2200,570.6586667,122.7146667,233.215427
1708.582906,1941.798333,2300,229.0143333,129.1873333,233.215427
2024.714573,2257.93,2400,3.218,138.852,233.215427
2073.144573,2306.36,2450,0,143.64,233.215427
2024.03124,2257.246667,2400,0,142.7533333,233.215427
1876.336573,2109.552,2250,0,140.448,233.215427
1679.08524,1912.300667,2050,0,137.6993333,233.215427
1482.454573,1715.67,1850,0,134.33,233.215427
1284.759906,1517.975333,1650,0,132.0246667,233.215427
1158.39524,1391.610667,1520,0,128.3893333,233.215427
1121.143906,1354.359333,1480,0,125.6406667,233.215427
1046.37524,1279.590667,1400,0,120.4093333,233.215427
1033.734573,1266.95,1380,0,113.05,233.215427
1061.80324,1295.018667,1400,0,104.9813333,233.215427
1218.275906,1451.491333,1550,0,98.50866667,233.215427
1204.544906,1437.760333,1700,171.0903333,91.14933333,233.215427
952.4009063,1185.616333,1750,485.3816667,79.002,233.215427
804.1152397,1037.330667,1900,783.0466667,79.62266667,233.215427
673.474573,906.6900003,2000,1015.815333,77.49466667,233.215427
738.5002397,971.7156667,2200,1150.435,77.84933333,233.215427
880.4249063,1113.640333,2400,1205.141,81.21866667,233.215427
605.1309063,838.3463333,2100,1176.179,85.47466667,233.215427
528.061573,761.277,1900,1050.677,88.046,233.215427
659.3619063,892.5773334,1800,813.0813333,94.34133333,233.215427
1073.581906,1306.797333,1950,539.5513333,103.6513333,233.215427
1439.910573,1673.126,2000,214.5333333,112.3406667,233.215427
1736.86624,1970.081667,2100,2.681666667,127.2366667,233.215427
